update_id,best_bid_price,best_bid_qty,best_ask_price,best_ask_qty,transaction_time,event_time
3319368755873,27987.20000000,0.65200000,27988.60000000,0.05400000,1696204805062,1696204807634
3319368756505,27986.60000000,0.65300000,27988.60000000,0.05400000,1696204805064,1696204807635
3319368756506,27985.40000000,0.65200000,27988.60000000,0.05400000,1696204805064,1696204807635
3319368756651,27985.20000000,0.01400000,27988.60000000,0.05400000,1696204805064,1696204807636
3319368757808,27984.90000000,0.39900000,27988.60000000,0.05400000,1696204805068,1696204807640
3319368759752,27984.90000000,0.39900000,27987.40000000,0.00400000,1696204805077,1696204807647
3319368759917,27984.90000000,0.39900000,27987.40000000,0.00300000,1696204805077,1696204807648
3319368759937,27984.90000000,0.39900000,27987.30000000,0.12000000,1696204805077,1696204807648
3319368760222,27984.90000000,0.39900000,27985.10000000,0.20000000,1696204805079,1696204807648
3319368760343,27984.90000000,0.39900000,27985.10000000,0.19700000,1696204805079,1696204807648
3319368762462,27984.90000000,0.39900000,27985.10000000,0.18900000,1696204805089,1696204807660
3319368764412,27985.90000000,0.00700000,27991.00000000,0.31000000,1696204805100,1696204807664
3319368764469,27985.90000000,0.00700000,27991.00000000,0.30900000,1696204805100,1696204807664
3319368764483,27985.90000000,0.00700000,27991.00000000,0.30800000,1696204805100,1696204807664
3319368764630,27985.90000000,0.00700000,27986.70000000,0.02900000,1696204805101,1696204807665
3319368764743,27985.90000000,0.00700000,27986.50000000,0.08000000,1696204805101,1696204807665
3319368764823,27985.90000000,0.00700000,27986.20000000,0.00600000,1696204805101,1696204807665
3319368765117,27985.90000000,0.01400000,27986.20000000,0.00600000,1696204805103,1696204807665
3319368765491,27985.90000000,0.01600000,27986.20000000,0.00600000,1696204805105,1696204807668
3319368765775,27985.90000000,0.01800000,27986.20000000,0.00600000,1696204805106,1696204807672
3319368765872,27985.90000000,0.03400000,27986.20000000,0.00600000,1696204805106,1696204807672
3319368766133,27985.90000000,0.05000000,27986.20000000,0.00600000,1696204805108,1696204807673
3319368768849,27985.90000000,0.05000000,27986.20000000,0.00500000,1696204805121,1696204807680
3319368768901,27985.90000000,0.05000000,27986.00000000,0.05900000,1696204805121,1696204807680
3319368768929,27985.90000000,0.05000000,27986.00000000,0.05800000,1696204805121,1696204807680
3319368769156,27985.90000000,0.05700000,27986.00000000,0.05800000,1696204805122,1696204807680
3319368770474,27985.90000000,0.05700000,27986.50000000,0.02700000,1696204805129,1696204807688
3319368771486,27985.90000000,0.05700000,27986.70000000,0.04600000,1696204805133,1696204807689
3319368771570,27985.90000000,0.05700000,27987.00000000,1.23300000,1696204805133,1696204807689
3319368771738,27986.60000000,0.00400000,27987.00000000,1.23300000,1696204805134,1696204807689
3319368772426,27985.90000000,0.01900000,27987.00000000,1.23300000,1696204805137,1696204807695
3319368772713,27985.90000000,0.01900000,27987.00000000,1.23400000,1696204805138,1696204807698
3319368772867,27985.70000000,0.00700000,27987.00000000,1.23400000,1696204805139,1696204807698
3319368774671,27985.70000000,0.00600000,27987.00000000,1.23400000,1696204805147,1696204807702
3319368774817,27984.70000000,1.29100000,27984.80000000,0.05000000,1696204805147,1696204807702
3319368778732,27981.80000000,3.74200000,27981.90000000,0.71400000,1696204805163,1696204807718
3319368778992,27981.30000000,0.72200000,27981.90000000,0.71400000,1696204805163,1696204807718
3319368779000,27981.30000000,0.72200000,27981.80000000,0.78000000,1696204805164,1696204807718
3319368779013,27981.30000000,0.72200000,27981.80000000,0.77800000,1696204805164,1696204807718
3319368779428,27981.20000000,0.28400000,27981.80000000,0.77800000,1696204805165,1696204807720
3319368781401,27981.20000000,0.28400000,27981.60000000,0.00700000,1696204805174,1696204807727
3319368781485,27981.20000000,0.28400000,27981.30000000,0.00700000,1696204805174,1696204807728
3319368781671,27981.20000000,0.28400000,27981.30000000,0.01400000,1696204805175,1696204807728
3319368782548,27981.10000000,0.00200000,27981.30000000,0.01400000,1696204805179,1696204807731
3319368783093,27981.10000000,0.00200000,27981.40000000,0.01400000,1696204805181,1696204807734
3319368783549,27981.00000000,0.41200000,27981.10000000,8.24900000,1696204805183,1696204807735
3319368784399,27981.00000000,0.41200000,27981.10000000,8.24100000,1696204805187,1696204807738
3319368785848,27981.00000000,0.41200000,27981.10000000,8.89100000,1696204805193,1696204807744
3319368788545,27981.00000000,0.41200000,27981.10000000,8.81600000,1696204805204,1696204807752
3319368788883,27981.00000000,0.41200000,27981.10000000,8.74000000,1696204805205,1696204807752
3319368790340,27981.00000000,0.41200000,27981.10000000,8.65600000,1696204805211,1696204807761
3319368791773,27981.00000000,0.41200000,27981.10000000,8.53600000,1696204805217,1696204807772
3319368793409,27981.00000000,0.40900000,27981.10000000,8.53600000,1696204805224,1696204807774
3319368793492,27981.00000000,0.40700000,27981.10000000,8.53600000,1696204805224,1696204807774
3319368793945,27981.00000000,0.40400000,27981.10000000,8.53600000,1696204805226,1696204807776
3319368794508,27981.00000000,0.40400000,27981.10000000,8.53400000,1696204805229,1696204807777
3319368796348,27981.00000000,0.40400000,27981.10000000,8.53300000,1696204805237,1696204807781
3319368798881,27981.00000000,0.40400000,27981.10000000,8.66500000,1696204805248,1696204807790
3319368800528,27981.00000000,0.40400000,27981.10000000,8.49900000,1696204805257,1696204807799
3319368800656,27981.00000000,0.39300000,27981.10000000,8.49900000,1696204805257,1696204807799
3319368801928,27981.00000000,0.37400000,27981.10000000,8.49900000,1696204805263,1696204807805
3319368803819,27981.00000000,0.37400000,27981.10000000,8.25000000,1696204805270,1696204807818
3319368803935,27981.00000000,0.37400000,27981.10000000,8.11800000,1696204805271,1696204807818
3319368808127,27981.00000000,0.37400000,27981.10000000,8.11600000,1696204805288,1696204807829
